"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"17","Atlanta, GA","Akron, OH","Blue",46,"Female",2,2008,49,-0.8846,"Personal Travel",2,0,65,"Eco",3,"2/3/14","DL","Sigma Airlines Inc.","Ohio","Georgia",11,0,0,"No",85,528,2,-81.4919,41.0662,-84.3319,33.8241,NA
"18","Phoenix, AZ","Kansas City, MO","Blue",47,"Male",1,2010,18,-0.3333,"Business travel",1,0,0,"Eco Plus",4,"1/4/14","US","Southeast Airlines Co.","Missouri","Arizona",21,0,13,"No",148,1044,3,-94.5949,39.0398,-111.97,33.4941,NA
"19","Colorado Springs, CO","Washington, DC","Gold",43,"Female",0,2012,4,-0.3333,"Business travel",0,0,0,"Eco",24,"2/24/14","OO","Northwest Business Airlines Inc.","Virginia","Colorado",18,0,0,"No",225,1463,9,-77.1897,38.8974,-104.7706,38.873,NA
"20","Aspen, CO","Denver, CO","Gold",41,"Female",1,2003,4,0.1111,"Business travel",0,15,45,"Eco",23,"2/23/14","OO","Northwest Business Airlines Inc.","Colorado","Colorado",14,30,27,"No",25,125,4,-104.9551,39.7108,-106.8403,39.1993,NA
"21","Denver, CO","Charlotte, NC","Platinum",52,"Female",1,2007,4,0.3846,"Business travel",0,0,75,"Eco",12,"2/12/14","US","Southeast Airlines Co.","North Carolina","Colorado",18,26,58,"No",194,1337,10,-80.8158,35.2497,-104.9551,39.7108,NA
"22","St. George, UT","Salt Lake City, UT","Blue",40,"Female",2,2007,19,-0.52,"Mileage tickets",1,0,0,"Eco",21,"2/21/14","OO","Northwest Business Airlines Inc.","Utah","Utah",11,0,0,"No",41,272,8,-111.9295,40.6408,-113.5674,37.1056,NA
"23","Seattle, WA","Lihue, HI","Blue",57,"Female",2,2004,22,-0.913,"Personal Travel",1,0,65,"Eco Plus",3,"1/3/14","AS","FlyToSun Airlines Inc.","Hawaii","Washington",14,0,0,"No",318,2701,5,-159.3617,21.9758,-122.2747,47.4684,NA
"24","Atlanta, GA","Buffalo, NY","Blue",23,"Female",1,2008,16,-0.4545,"Business travel",2,0,50,"Eco",5,"1/5/14","DL","Sigma Airlines Inc.","New York","Georgia",6,0,0,"No",109,712,9,-78.8237,42.9249,-84.3319,33.8241,NA
"25","Atlanta, GA","Los Angeles, CA","Platinum",59,"Female",1,2003,13,0.0714,"Business travel",1,0,50,"Eco",21,"2/21/14","DL","Sigma Airlines Inc.","California","Georgia",13,168,141,"No",205,1947,2,-118.1043,33.9827,-84.3319,33.8241,NA
"26","San Diego, CA","Atlanta, GA","Blue",29,"Female",1,2008,24,-0.3714,"Business travel",1,10,15,"Eco",27,"1/27/14","DL","Sigma Airlines Inc.","Georgia","California",11,0,0,"No",263,1892,8,-84.3319,33.8241,-117.1288,32.9287,NA
"27","Los Angeles, CA","Las Vegas, NV","Blue",30,"Female",0,2006,5,-0.25,"Business travel",4,0,90,"Eco",28,"1/28/14","WN","Cheapseats Airlines Inc.","Nevada","California",9,13,3,"No",41,236,10,-115.1672,36.1349,-118.1043,33.9827,NA
"28","Phoenix, AZ","Albuquerque, NM","Blue",80,"Female",1,2012,18,-0.2857,"Personal Travel",0,280,30,"Eco",30,"3/30/14","WN","Cheapseats Airlines Inc.","New Mexico","Arizona",13,20,23,"No",59,328,4,-106.6281,35.1434,-111.97,33.4941,NA
"29","Miami, FL","New York, NY","Blue",70,"Male",1,2008,32,-0.8286,"Business travel",0,15,95,"Business",11,"2/11/14","DL","Sigma Airlines Inc.","New York","Florida",8,0,0,"No",166,1096,10,-73.9702,40.7184,-80.2314,26.1756,NA
"30","Baltimore, MD","Providence, RI","Blue",80,"Male",2,2010,17,-0.7895,"Personal Travel",0,0,135,"Eco Plus",23,"3/23/14","WN","Cheapseats Airlines Inc.","Rhode Island","Maryland",19,24,23,"No",62,327,4,-71.3974,41.7763,-76.6478,39.2341,NA
"31","Denver, CO","Santa Barbara, CA","Blue",37,"Female",1,2005,17,-0.36,"Personal Travel",3,0,210,"Eco",5,"2/5/14","OO","Northwest Business Airlines Inc.","California","Colorado",5,0,0,"No",123,916,3,-119.7241,34.4275,-104.9551,39.7108,NA
"32","Santa Barbara, CA","Portland, OR","Platinum",37,"Female",1,2004,12,0.4419,"Business travel",2,415,75,"Eco",2,"2/2/14","OO","Northwest Business Airlines Inc.","Oregon","California",16,0,0,"No",98,784,5,-122.6511,45.5204,-119.7241,34.4275,NA
"33","Chicago, IL","Springfield, MO","Blue",31,"Female",1,2003,8,0.3043,"Personal Travel",2,35,30,"Eco Plus",7,"2/7/14","MQ","EnjoyFlying Air Services","Missouri","Illinois",7,119,104,"No",61,438,3,-93.2871,37.1489,-87.8954,41.8271,NA
"34","Denver, CO","Las Vegas, NV","Silver",85,"Female",1,2009,30,-0.9355,"Personal Travel",0,0,25,"Eco",15,"3/15/14","OU","Oursin Airlines Inc.","Nevada","Colorado",11,0,0,"No",89,628,9,-115.1672,36.1349,-104.9551,39.7108,NA
"35","Pittsburgh, PA","Orlando, FL","Blue",22,"Male",1,2005,3,-0.2,"Business travel",0,0,20,"Eco",8,"3/8/14","WN","Cheapseats Airlines Inc.","Florida","Pennsylvania",6,0,0,"No",115,834,9,-81.4112,28.5844,-79.951,40.457,NA
"36","Twin Falls, ID","Salt Lake City, UT","Blue",48,"Male",0,2005,63,-0.7746,"Business travel",0,0,0,"Eco",2,"1/2/14","OO","Northwest Business Airlines Inc.","Utah","Idaho",20,0,0,"No",36,175,8,-111.9295,40.6408,-114.4541,42.5615,NA
"37","Omaha, NE","Las Vegas, NV","Silver",57,"Female",1,2005,23,-0.3939,"Business travel",5,0,60,"Eco",9,"2/9/14","WN","Cheapseats Airlines Inc.","Nevada","Nebraska",17,57,41,"No",130,1099,9,-115.1672,36.1349,-96.0346,41.2349,NA
"38","Detroit, MI","Evansville, IN","Blue",63,"Female",0,2003,48,-0.7143,"Personal Travel",0,0,75,"Eco",27,"2/27/14","EV","FlyFast Airways Inc.","Indiana","Michigan",16,0,0,"No",60,363,7,-87.5374,37.9785,-83.2276,42.49,NA
"39","Milwaukee, WI","Washington, DC","Silver",47,"Male",1,2010,4,0.4667,"Business travel",2,20,105,"Eco",27,"3/27/14","FL","FlyHere Airways","Virginia","Wisconsin",8,0,4,"No",104,634,10,-77.1897,38.8974,-88.1005,43.0557,NA
"40","Salt Lake City, UT","Grand Junction, CO","Silver",38,"Female",1,2012,18,-0.125,"Personal Travel",1,120,120,"Eco",29,"3/29/14","OO","Northwest Business Airlines Inc.","Colorado","Utah",12,0,0,"No",45,216,8,-108.5675,39.0891,-111.9295,40.6408,NA
"41","Minneapolis, MN","Grand Rapids, MI","Blue",17,"Male",1,2004,47,-0.7091,"Personal Travel",2,0,75,"Eco",9,"2/9/14","DL","Sigma Airlines Inc.","Michigan","Minnesota",16,0,0,"No",67,408,7,-85.6686,42.9429,-93.2798,44.9782,NA
"42","Grand Rapids, MI","Atlanta, GA","Blue",47,"Male",2,2011,24,-0.8462,"Business travel",2,0,45,"Eco",28,"1/28/14","EV","FlyFast Airways Inc.","Georgia","Michigan",9,9,8,"No",84,640,6,-84.3319,33.8241,-85.6686,42.9429,NA
"43","Tampa, FL","Minneapolis, MN","Blue",52,"Male",1,2006,47,-0.7407,"Business travel",1,0,35,"Eco Plus",1,"3/1/14","DL","Sigma Airlines Inc.","Minnesota","Florida",15,9,0,"No",149,1306,3,-93.2798,44.9782,-82.5132,28.0062,NA
"44","Denver, CO","Philadelphia, PA","Blue",66,"Male",1,2006,21,-0.3548,"Personal Travel",0,60,170,"Eco",18,"1/18/14","US","Southeast Airlines Co.","Pennsylvania","Colorado",7,25,43,"No",208,1558,4,-75.2984,39.9733,-104.9551,39.7108,NA
"45","San Diego, CA","Los Angeles, CA","Blue",24,"Male",2,2012,5,0.2857,"Business travel",0,0,30,"Eco",21,"2/21/14","OO","Northwest Business Airlines Inc.","California","California",15,55,51,"No",28,109,7,-118.1043,33.9827,-117.1288,32.9287,NA
"46","Aspen, CO","Denver, CO","Silver",45,"Female",1,2009,12,-0.7143,"Business travel",2,0,15,"Eco",20,"3/20/14","OO","Northwest Business Airlines Inc.","Colorado","Colorado",15,81,97,"No",46,125,9,-104.9551,39.7108,-106.8403,39.1993,NA
"47","Detroit, MI","New York, NY","Blue",42,"Male",1,2011,13,-0.4444,"Business travel",2,0,75,"Eco Plus",30,"1/30/14","MQ","EnjoyFlying Air Services","New York","Michigan",19,0,0,"No",85,502,8,-73.9702,40.7184,-83.2276,42.49,NA
"48","Salt Lake City, UT","Tucson, AZ","Blue",44,"Female",2,2004,15,-0.2,"Business travel",0,0,120,"Eco Plus",26,"2/26/14","OO","Northwest Business Airlines Inc.","Arizona","Utah",8,0,0,"No",93,601,9,-110.9461,32.2549,-111.9295,40.6408,NA
"49","Houston, TX","Tulsa, OK","Silver",56,"Female",2,2009,0,1,"Personal Travel",0,0,240,"Eco",23,"1/23/14","OO","Northwest Business Airlines Inc.","Oklahoma","Texas",12,0,4,"No",76,429,6,-95.9013,36.1054,-95.3935,29.7843,NA
"50","Cincinnati, OH","Chicago, IL","Blue",61,"Female",1,2007,4,0.3333,"Business travel",0,10,120,"Eco",21,"2/21/14","MQ","EnjoyFlying Air Services","Illinois","Kentucky",19,125,125,"No",41,265,9,-87.8954,41.8271,-84.462,39.1855,NA
"51","Hartford, CT","Chicago, IL","Silver",38,"Female",1,2008,27,-0.0385,"Personal Travel",2,60,105,"Eco",10,"3/10/14","MQ","EnjoyFlying Air Services","Illinois","Connecticut",13,0,0,"No",98,783,10,-87.8954,41.8271,-72.6988,41.7401,NA
"52","Las Vegas, NV","Philadelphia, PA","Platinum",76,"Female",1,2010,24,-0.6552,"Personal Travel",0,92,25,"Eco",26,"3/26/14","US","Southeast Airlines Co.","Pennsylvania","Nevada",11,0,0,"No",303,2176,7,-75.2984,39.9733,-115.1672,36.1349,NA
"53","San Jose, CA","Los Angeles, CA","Blue",34,"Female",2,2007,18,-0.8947,"Business travel",2,5,45,"Eco",5,"2/5/14","OO","Northwest Business Airlines Inc.","California","California",11,6,21,"No",56,308,9,-118.1043,33.9827,-121.9451,37.3298,NA
"54","Los Angeles, CA","Austin, TX","Blue",53,"Female",1,2004,7,0,"Personal Travel",0,0,70,"Business",22,"3/22/14","WN","Cheapseats Airlines Inc.","Texas","California",8,0,5,"No",190,1242,2,-97.7615,30.3585,-118.1043,33.9827,NA
"55","Denver, CO","Salt Lake City, UT","Blue",34,"Female",1,2003,23,-0.0698,"Business travel",4,120,30,"Eco",5,"1/5/14","EV","FlyFast Airways Inc.","Utah","Colorado",14,72,67,"No",59,391,7,-111.9295,40.6408,-104.9551,39.7108,NA
"56","Jacksonville, FL","Atlanta, GA","Blue",47,"Female",1,2003,18,-0.3846,"Business travel",0,45,0,"Eco",8,"3/8/14","DL","Sigma Airlines Inc.","Georgia","Florida",21,0,0,"No",39,270,8,-84.3319,33.8241,-81.6427,30.2401,NA
"57","Boston, MA","Chicago, IL","Blue",30,"Female",1,2011,11,0.2143,"Business travel",1,2,60,"Eco",6,"2/6/14","OU","Oursin Airlines Inc.","Illinois","Massachusetts",9,86,68,"No",96,867,7,-87.8954,41.8271,-71.1407,42.3731,NA
"58","San Francisco, CA","Los Angeles, CA","Gold",34,"Female",1,2010,32,-0.1852,"Personal Travel",2,0,60,"Eco",21,"2/21/14","OU","Oursin Airlines Inc.","California","California",15,2,0,"No",58,337,8,-118.1043,33.9827,-122.1585,37.6712,NA
"59","Philadelphia, PA","Atlanta, GA","Blue",47,"Female",2,2008,11,0.5319,"Business travel",1,0,55,"Eco",17,"3/17/14","FL","FlyHere Airways","Georgia","Pennsylvania",15,26,0,"No",81,666,10,-84.3319,33.8241,-75.2984,39.9733,NA
"60","Philadelphia, PA","Miami, FL","Blue",57,"Female",1,2003,31,-0.8788,"Business travel",0,285,50,"Eco",22,"2/22/14","AA","Paul Smith Airlines Inc.","Florida","Pennsylvania",22,0,0,"No",129,1013,9,-80.2314,26.1756,-75.2984,39.9733,NA
"61","San Antonio, TX","San Diego, CA","Blue",53,"Male",2,2003,10,-0.8182,"Business travel",1,0,30,"Eco",9,"2/9/14","WN","Cheapseats Airlines Inc.","California","Texas",9,2,0,"No",134,1129,9,-117.1288,32.9287,-98.4754,29.5144,NA
"62","New York, NY","Chicago, IL","Blue",73,"Male",2,2011,17,-0.8889,"Personal Travel",0,0,50,"Eco",2,"3/2/14","OU","Oursin Airlines Inc.","Illinois","New York",17,14,0,"No",79,733,7,-87.8954,41.8271,-73.9702,40.7184,NA
"63","Phoenix, AZ","Denver, CO","Blue",68,"Female",1,2009,12,-0.7143,"Business travel",0,0,15,"Eco",30,"3/30/14","US","Southeast Airlines Co.","Colorado","Arizona",14,0,18,"No",108,602,6,-104.9551,39.7108,-111.97,33.4941,NA
"64","Chicago, IL","San Francisco, CA","Silver",56,"Female",2,2011,17,-0.2593,"Business travel",0,5,23,"Eco Plus",26,"3/26/14","OU","Oursin Airlines Inc.","California","Illinois",16,48,46,"No",219,1846,9,-122.1585,37.6712,-87.8954,41.8271,NA
"65","San Diego, CA","San Francisco, CA","Blue",61,"Female",2,2003,10,-0.1765,"Personal Travel",0,0,30,"Eco",27,"3/27/14","OU","Oursin Airlines Inc.","California","California",6,0,0,"No",68,447,7,-122.1585,37.6712,-117.1288,32.9287,NA
"66","Baltimore, MD","Columbus, OH","Blue",53,"Female",2,2009,7,0.7021,"Business travel",1,60,90,"Eco",26,"3/26/14","WN","Cheapseats Airlines Inc.","Ohio","Maryland",6,0,0,"No",57,337,10,-82.9685,40.0212,-76.6478,39.2341,NA
"67","Manchester, NH","Orlando, FL","Blue",65,"Female",1,2005,21,-0.5,"Personal Travel",0,90,155,"Eco",25,"2/25/14","WN","Cheapseats Airlines Inc.","Florida","New Hampshire",9,0,0,"No",143,1142,7,-81.4112,28.5844,-71.4797,42.991,NA
"68","San Antonio, TX","Houston, TX","Blue",74,"Male",1,2006,63,-0.726,"Personal Travel",0,0,60,"Eco",7,"3/7/14","OO","Northwest Business Airlines Inc.","Texas","Texas",23,2,5,"No",33,191,5,-95.3935,29.7843,-98.4754,29.5144,NA
"69","Atlanta, GA","Detroit, MI","Silver",40,"Male",1,2006,0,1,"Business travel",2,14,65,"Eco",22,"1/22/14","FL","FlyHere Airways","Michigan","Georgia",13,44,46,"No",83,594,10,-83.2276,42.49,-84.3319,33.8241,NA
"70","Atlanta, GA","Indianapolis, IN","Blue",30,"Male",1,2011,8,-0.1429,"Business travel",1,0,105,"Eco",14,"3/14/14","FL","FlyHere Airways","Indiana","Georgia",10,0,0,"No",65,432,10,-86.1455,39.8113,-84.3319,33.8241,NA
"71","New York, NY","Chicago, IL","Blue",69,"Male",1,2006,24,-0.5484,"Mileage tickets",0,5,80,"Eco",20,"1/20/14","B6","OnlyJets Airlines Inc.","Illinois","New York",19,18,31,"No",95,740,8,-87.8954,41.8271,-73.9702,40.7184,NA
"72","Oklahoma City, OK","Houston, TX","Blue",69,"Male",1,2011,19,-0.4074,"Personal Travel",0,0,58,"Eco",21,"3/21/14","OO","Northwest Business Airlines Inc.","Texas","Oklahoma",10,42,34,"No",62,395,2,-95.3935,29.7843,-97.5243,35.5048,NA
"73","San Francisco, CA","Washington, DC","Blue",53,"Male",1,2003,48,-0.6552,"Business travel",0,0,255,"Eco",23,"3/23/14","VX","Cool&Young Airlines Inc.","Virginia","California",18,0,7,"No",349,2419,8,-77.1897,38.8974,-122.1585,37.6712,NA
"74","Dallas, TX","Little Rock, AR","Gold",50,"Female",1,2004,32,-0.7778,"Business travel",0,0,195,"Eco",21,"2/21/14","WN","Cheapseats Airlines Inc.","Arkansas","Texas",8,0,0,"No",53,296,9,-92.3212,34.7566,-96.972,32.8127,NA
"75","Phoenix, AZ","New York, NY","Blue",42,"Male",0,2012,17,-0.619,"Business travel",2,0,45,"Eco Plus",20,"2/20/14","DL","Sigma Airlines Inc.","New York","Arizona",8,0,0,"No",326,2153,9,-73.9702,40.7184,-111.97,33.4941,NA
"76","Houston, TX","Kansas City, MO","Silver",37,"Male",2,2009,20,-0.5385,"Business travel",2,225,90,"Eco",12,"3/12/14","EV","FlyFast Airways Inc.","Missouri","Texas",18,4,4,"No",99,643,8,-94.5949,39.0398,-95.3935,29.7843,NA
"77","Chicago, IL","Indianapolis, IN","Blue",20,"Female",2,2010,19,-0.3571,"Mileage tickets",0,0,30,"Eco",4,"1/4/14","EV","FlyFast Airways Inc.","Indiana","Illinois",15,NA,NA,"Yes",NA,177,9,-86.1455,39.8113,-87.8954,41.8271,NA
"78","Kansas City, MO","St. Louis, MO","Blue",23,"Female",2,2010,18,0.1,"Personal Travel",1,0,25,"Eco",8,"2/8/14","WN","Cheapseats Airlines Inc.","Missouri","Missouri",11,0,0,"No",51,237,3,-90.3409,38.6307,-94.5949,39.0398,NA
"79","Providence, RI","Atlanta, GA","Blue",73,"Male",1,2008,30,-0.9355,"Personal Travel",0,90,105,"Eco",31,"3/31/14","DL","Sigma Airlines Inc.","Georgia","Rhode Island",15,0,21,"No",125,903,3,-84.3319,33.8241,-71.3974,41.7763,NA
"80","Chicago, IL","Phoenix, AZ","Blue",40,"Male",1,2011,21,-0.4,"Business travel",0,0,135,"Eco",25,"3/25/14","AA","Paul Smith Airlines Inc.","Arizona","Illinois",6,0,11,"No",191,1440,8,-111.97,33.4941,-87.8954,41.8271,NA
"81","Seattle, WA","Chicago, IL","Blue",20,"Female",1,2006,8,-0.0667,"Business travel",0,15,80,"Eco Plus",22,"3/22/14","OU","Oursin Airlines Inc.","Illinois","Washington",13,1,0,"No",241,1721,10,-87.8954,41.8271,-122.2747,47.4684,NA
"82","Las Vegas, NV","Oklahoma City, OK","Silver",39,"Female",2,2006,11,-0.1,"Personal Travel",2,60,180,"Eco",18,"2/18/14","WN","Cheapseats Airlines Inc.","Oklahoma","Nevada",16,14,11,"No",150,986,6,-97.5243,35.5048,-115.1672,36.1349,NA
"83","Washington, DC","Orlando, FL","Blue",73,"Female",2,2008,46,-0.9574,"Personal Travel",0,0,30,"Eco",15,"1/15/14","US","Southeast Airlines Co.","Florida","Virginia",18,75,63,"No",97,759,4,-81.4112,28.5844,-77.1897,38.8974,NA
"84","Cleveland, OH","Houston, TX","Silver",56,"Female",2,2011,13,-0.1304,"Mileage tickets",0,120,120,"Eco",24,"2/24/14","OO","Northwest Business Airlines Inc.","Texas","Ohio",15,4,0,"No",133,1091,8,-95.3935,29.7843,-81.6054,41.4436,NA
"85","Santa Barbara, CA","Los Angeles, CA","Blue",43,"Female",2,2010,8,0.1111,"Mileage tickets",1,60,30,"Eco Plus",31,"3/31/14","OO","Northwest Business Airlines Inc.","California","California",9,0,0,"No",19,89,9,-118.1043,33.9827,-119.7241,34.4275,NA
"86","Colorado Springs, CO","Denver, CO","Blue",68,"Male",2,2011,29,-0.8125,"Personal Travel",0,30,120,"Eco",23,"2/23/14","OO","Northwest Business Airlines Inc.","Colorado","Colorado",17,0,0,"No",18,73,8,-104.9551,39.7108,-104.7706,38.873,NA
"87","Los Angeles, CA","Las Vegas, NV","Silver",56,"Male",1,2010,9,-0.6364,"Business travel",0,0,120,"Eco",23,"2/23/14","WN","Cheapseats Airlines Inc.","Nevada","California",9,9,19,"No",41,236,10,-115.1672,36.1349,-118.1043,33.9827,NA
"88","San Diego, CA","Phoenix, AZ","Silver",26,"Female",1,2012,8,0.36,"Personal Travel",2,0,50,"Eco",26,"2/26/14","US","Southeast Airlines Co.","Arizona","California",21,0,0,"No",51,304,9,-111.97,33.4941,-117.1288,32.9287,NA
"89","Salt Lake City, UT","San Francisco, CA","Blue",27,"Male",1,2008,53,-0.8276,"Business travel",0,2,60,"Eco",5,"3/5/14","OO","Northwest Business Airlines Inc.","California","Utah",15,0,0,"No",74,599,7,-122.1585,37.6712,-111.9295,40.6408,NA
"90","San Diego, CA","San Antonio, TX","Silver",32,"Female",2,2011,0,1,"Business travel",2,0,95,"Eco",24,"3/24/14","WN","Cheapseats Airlines Inc.","Texas","California",11,0,0,"No",167,1129,8,-98.4754,29.5144,-117.1288,32.9287,NA
"91","Seattle, WA","Albuquerque, NM","Blue",58,"Female",2,2010,26,-0.625,"Mileage tickets",0,0,20,"Business",16,"2/16/14","WN","Cheapseats Airlines Inc.","New Mexico","Washington",13,26,23,"No",174,1180,6,-106.6281,35.1434,-122.2747,47.4684,NA
"92","Syracuse, NY","Chicago, IL","Blue",58,"Female",1,2005,34,-0.7436,"Personal Travel",0,145,65,"Eco",7,"3/7/14","MQ","EnjoyFlying Air Services","Illinois","New York",9,0,0,"No",80,607,8,-87.8954,41.8271,-76.164,43.0904,NA
"93","San Diego, CA","Kahului, HI","Blue",63,"Male",1,2007,28,-0.5135,"Personal Travel",1,0,90,"Eco",7,"2/7/14","AS","FlyToSun Airlines Inc.","Hawaii","California",16,41,9,"No",281,2541,2,-156.4779,20.8864,-117.1288,32.9287,NA
"94","Chico, CA","San Francisco, CA","Gold",46,"Female",1,2011,10,0.0909,"Business travel",2,0,80,"Eco",12,"1/12/14","OO","Northwest Business Airlines Inc.","California","California",22,0,0,"No",38,153,10,-122.1585,37.6712,-121.8437,39.7502,NA
"95","Phoenix, AZ","Salt Lake City, UT","Blue",30,"Female",1,2008,12,0,"Business travel",3,20,60,"Eco",31,"1/31/14","OO","Northwest Business Airlines Inc.","Utah","Arizona",17,0,3,"No",81,507,9,-111.9295,40.6408,-111.97,33.4941,NA
"96","Chicago, IL","Denver, CO","Blue",53,"Female",1,2005,15,-0.5789,"Personal Travel",0,15,50,"Eco Plus",15,"1/15/14","OU","Oursin Airlines Inc.","Colorado","Illinois",19,0,0,"No",106,888,4,-104.9551,39.7108,-87.8954,41.8271,NA
"97","San Diego, CA","Houston, TX","Blue",34,"Female",1,2004,20,-0.4286,"Business travel",1,60,20,"Eco",10,"3/10/14","OU","Oursin Airlines Inc.","Texas","California",9,1,0,"No",168,1303,7,-95.3935,29.7843,-117.1288,32.9287,NA
"98","Salt Lake City, UT","Los Angeles, CA","Blue",77,"Female",2,2012,17,-0.5455,"Personal Travel",0,30,145,"Eco",21,"1/21/14","DL","Sigma Airlines Inc.","California","Utah",11,0,0,"No",80,590,7,-118.1043,33.9827,-111.9295,40.6408,NA
